epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3641,0.65506,2.91918,0.90648,0.7888,0.68933,0.79564,0.70961,0.46102,1.23667,0.81207,0.00025486,0.00025486,0.00025486
2,58.7256,0.6187,1.39074,0.90147,0.88585,0.91643,0.97805,0.8893,0.45082,0.76303,0.82015,0.000501072,0.000501072,0.000501072
3,85.1944,0.59067,1.08725,0.89852,0.90219,0.97052,0.98711,0.91117,0.39353,0.65596,0.80813,0.000737133,0.000737133,0.000737133
4,111.75,0.58318,0.95027,0.90253,0.96937,0.9697,0.98952,0.92175,0.3835,0.53263,0.81273,0.000723321,0.000723321,0.000723321
5,139.433,0.57057,0.85768,0.88591,0.96655,0.97645,0.99184,0.92166,0.38356,0.48332,0.80657,0.000708095,0.000708095,0.000708095
6,164.455,0.53718,0.78005,0.89234,0.97614,0.98951,0.99461,0.93635,0.34992,0.42717,0.79985,0.000692869,0.000692869,0.000692869
7,190.478,0.51029,0.73314,0.88328,0.97979,0.98881,0.99306,0.93844,0.36119,0.45508,0.8013,0.000677643,0.000677643,0.000677643
8,219.831,0.50037,0.7406,0.88814,0.96723,0.98317,0.99322,0.93421,0.3508,0.48235,0.79645,0.000662417,0.000662417,0.000662417
9,250.2,0.489,0.67027,0.87134,0.97478,0.97348,0.98893,0.93961,0.33827,0.45504,0.79091,0.00064719,0.00064719,0.00064719
10,282.167,0.48909,0.63871,0.88264,0.98532,0.99301,0.99359,0.94544,0.33059,0.39004,0.79221,0.000631964,0.000631964,0.000631964
11,310.455,0.47784,0.5911,0.87686,0.99041,0.99005,0.99397,0.95572,0.30804,0.36421,0.7859,0.000616738,0.000616738,0.000616738
12,336.255,0.48819,0.58606,0.87972,0.9875,0.99191,0.99412,0.9596,0.30295,0.37798,0.78733,0.000601512,0.000601512,0.000601512
13,361.856,0.47045,0.55658,0.87005,0.99219,0.99079,0.99451,0.9591,0.29666,0.33469,0.78318,0.000586286,0.000586286,0.000586286
